site_id,date,season,scene_id,platform,n_valid_pixels,lst_c_median,ndvi_median,albedo_median
treatment,2025-11-22,transition,LC09_L2SP_202033_20251122_02_T1,landsat-9,8743,14.078146820000029,0.15775718176227696,0.1090175775
control_1_C5,2025-11-22,transition,LC09_L2SP_202033_20251122_02_T1,landsat-9,315,13.599624020000022,0.20388720094050106,0.15609876
control_2_C1,2025-11-22,transition,LC09_L2SP_202033_20251122_02_T1,landsat-9,312,13.355235590000007,0.4264444680023198,0.11619664499999999
treatment,2025-10-13,transition,LC08_L2SP_202033_20251013_02_T1,landsat-8,6457,34.921232780000025,0.17137483142877424,0.18355698750000002
control_1_C5,2025-10-13,transition,LC08_L2SP_202033_20251013_02_T1,landsat-8,315,33.96076916000004,0.20266496023889988,0.26893717249999993
control_2_C1,2025-10-13,transition,LC08_L2SP_202033_20251013_02_T1,landsat-8,312,33.20025971000001,0.2860195751559603,0.19891322125
treatment,2025-10-05,transition,LC09_L2SP_202033_20251005_02_T1,landsat-9,8743,39.30313441999999,0.16945195223774537,0.16057666750000002
control_1_C5,2025-10-05,transition,LC09_L2SP_202033_20251005_02_T1,landsat-9,315,38.67080071999999,0.20366662115626755,0.25491068749999996
control_2_C1,2025-10-05,transition,LC09_L2SP_202033_20251005_02_T1,landsat-9,312,37.38904322000002,0.3047502987397694,0.17823419750000002
treatment,2025-09-11,transition,LC08_L2SP_202033_20250911_02_T1,landsat-8,8743,37.853893940000034,0.18015647337910234,0.1748565375
control_1_C5,2025-09-11,transition,LC08_L2SP_202033_20250911_02_T1,landsat-8,315,38.643456560000004,0.19457931095283967,0.28015269
control_2_C1,2025-09-11,transition,LC08_L2SP_202033_20250911_02_T1,landsat-8,312,38.60244032000003,0.3013049509202611,0.2060978025
treatment,2025-09-03,transition,LC09_L2SP_202033_20250903_02_T1,landsat-9,8743,43.326143960000024,0.18054875061244496,0.17644279249999997
control_1_C5,2025-09-03,transition,LC09_L2SP_202033_20250903_02_T1,landsat-9,315,43.58249546000002,0.1916942110076548,0.28360531499999997
control_2_C1,2025-09-03,transition,LC09_L2SP_202033_20250903_02_T1,landsat-9,312,43.07321048000003,0.2927491907221387,0.21060576749999999
treatment,2025-08-26,summer,LC08_L2SP_202033_20250826_02_T1,landsat-8,8743,42.15376309999999,0.1777265632621207,0.197890565
control_1_C5,2025-08-26,summer,LC08_L2SP_202033_20250826_02_T1,landsat-8,315,42.02729636000004,0.1911845022006619,0.2809160625
control_2_C1,2025-08-26,summer,LC08_L2SP_202033_20250826_02_T1,landsat-8,312,42.09394775000001,0.2598879555376472,0.22443338625000003
treatment,2025-08-10,summer,LC08_L2SP_202033_20250810_02_T1,landsat-8,8743,50.12800376000001,0.1882045799705436,0.17900241000000003
control_1_C5,2025-08-10,summer,LC08_L2SP_202033_20250810_02_T1,landsat-8,315,49.94684870000003,0.19577847773768636,0.29055882749999995
control_2_C1,2025-08-10,summer,LC08_L2SP_202033_20250810_02_T1,landsat-8,312,51.31918372999999,0.28053679294479417,0.21337075500000002
treatment,2025-08-02,summer,LC09_L2SP_202033_20250802_02_T1,landsat-9,8743,49.061581520000004,0.19547879124554307,0.17245301000000005
control_1_C5,2025-08-02,summer,LC09_L2SP_202033_20250802_02_T1,landsat-9,315,49.42389164000002,0.20309511980999168,0.290088935
control_2_C1,2025-08-02,summer,LC09_L2SP_202033_20250802_02_T1,landsat-9,312,49.51276016000003,0.2888231464556688,0.20898896
treatment,2025-07-25,summer,LC08_L2SP_202033_20250725_02_T1,landsat-8,8743,48.043011560000025,0.2006733161558964,0.16868603249999997
control_1_C5,2025-07-25,summer,LC08_L2SP_202033_20250725_02_T1,landsat-8,315,48.36430544000001,0.20573971206158947,0.29044646250000006
